site_code,region,site_type,state
ALB01,NE,取件点,New York
FMN01,WE,取件点,New Mexico
SMX02,WE,取件点,California
ERI01,NE,取件点,Pennsylvania
DCU01,MS,取件点,Alabama
MSL01,MS,取件点,Alabama
MGM01,MS,取件点,Alabama
MRC01,MS,取件点,Tennessee
YUM02,WE,取件点,Arizona
LFT01,MS,取件点,Louisiana
FWA01,GL,取件点,Indiana
AMA01,TX,取件点,Texas
EVV01,GL,取件点,Indiana
ORD.T,GL,仓库,Illinois
GJT01,WE,取件点,Colorado
CID01,GL,取件点,Iowa
HDC01,MS,取件点,Louisiana
ORH01,NE,取件点,Massachusetts
EUG01001,WE,仓库,Oregon
SJT01,TX,取件点,Texas
PAE01,WE,取件点,Washington
BMI01,GL,取件点,Illinois
IAH02,TX,取件点,Texas
BZN01,WE,取件点,Montana
PDK01,MS,取件点,Georgia
SPS01,TX,取件点,Texas
PGV01,MS,取件点,North Carolina
LAL01,FL,取件点,Florida
GRB01,GL,取件点,Wisconsin
PDK.T,MS,仓库,Georgia
RFD01,GL,取件点,Illinois
DSM01,GL,取件点,Iowa
ABE01,NE,取件点,Pennsylvania
TRC01,WE,取件点,Washington
EWR.T,NE,仓库,New Jersey
BWI.H,NE,二级转运中心,Maryland
FLL01,FL,取件点,Florida
SFO02,WE,取件点,California
PDK.H,MS,一级枢纽中心,Georgia
OAJ01,MS,取件点,North Carolina
DAY01,GL,取件点,Ohio
SPR01,MS,取件点,Arkansas
LRD01,TX,取件点,Texas
GAD01,MS,取件点,Alabama
DFW.G,TX,仓库,Texas
SFV02,WE,取件点,California
MFR01,WE,取件点,Oregon
MCI.T,GL,仓库,Missouri
CLT.T,MS,仓库,North Carolina
LGA02,NE,取件点,New York
ATL.T,MS,仓库,Georgia
SHV01,MS,取件点,Louisiana
LCH01,MS,取件点,Louisiana
MIA05,FL,取件点,Florida
MDW01,GL,取件点,Illinois
TYS01,MS,取件点,Tennessee
MYR01,MS,取件点,South Carolina
LEX01,GL,取件点,Kentucky
CNO.T,WE,仓库,California
JFK.T,NE,清关行,New York
FPR01,FL,取件点,Florida
AUO01,MS,取件点,Alabama
PIA01,GL,取件点,Illinois
TRI01,MS,取件点,Tennessee
TAL01,FL,取件点,Florida
PRC01,WE,取件点,Arizona
IFP01,WE,取件点,Arizona
CYS01,WE,取件点,Colorado
CGZ01,WE,取件点,Arizona
GRR01,GL,取件点,Michigan
MAF01,TX,取件点,Texas
BIL01,WE,取件点,Montana
BTR01,MS,取件点,Louisiana
SAF01,WE,取件点,New Mexico
IDA01,WE,取件点,Idaho
PIH01,WE,取件点,Idaho
LGU01,WE,取件点,Utah
ROC01,NE,取件点,New York
MAC01,MS,取件点,Georgia
CVG.H,GL,二级转运中心,Ohio
